age,region,activity,heart_rate,steps,calories,step_range,calories_range,sleep_hours,weight_kg,fitness_level
22,South,Running,108,11107,595,11k-14k,550-700,7.94,67.6,moderately_fit
35,North,Gym,95,10933,440,8k-11k,400-550,5.65,82.6,moderately_fit
45,South,Running,114,12756,546,11k-14k,400-550,7.44,69.0,moderately_fit
21,South,Cycling,87,10844,517,8k-11k,400-550,8.65,69.9,moderately_fit
50,North,Running,121,16277,768,>14k,>700,6.57,83.7,fit
54,North,Walking,130,8208,279,8k-11k,250-400,7.69,72.8,moderately_fit
70,South,Sports,97,8797,434,8k-11k,400-550,8.38,62.4,moderately_fit
54,East,Walking,65,2656,101,<5k,<250,8.06,71.7,unfit
53,South,Walking,120,8354,264,8k-11k,250-400,7.04,72.9,moderately_fit
43,East,Running,95,11049,442,11k-14k,400-550,6.56,67.6,moderately_fit
33,North,Gym,84,8605,356,8k-11k,250-400,7.73,79.0,moderately_fit
59,North,Sports,100,8689,492,8k-11k,400-550,8.41,67.5,moderately_fit
23,North,Gym,74,6427,241,5k-8k,<250,7.83,78.0,unfit
68,South,Walking,73,6238,255,5k-8k,250-400,4.33,86.1,unfit
24,East,Gym,65,7493,327,5k-8k,250-400,7.23,70.6,moderately_fit
45,North,Running,120,13502,701,11k-14k,>700,8.02,91.9,fit
42,East,Walking,62,4847,178,<5k,<250,8.01,66.4,unfit
34,South,Walking,64,6237,292,5k-8k,250-400,4.94,70.9,unfit
40,West,Gym,80,9446,349,8k-11k,250-400,5.89,61.0,moderately_fit
56,East,Gym,102,7775,285,5k-8k,250-400,6.95,99.9,moderately_fit
30,East,Cycling,83,12594,605,11k-14k,550-700,9.74,79.7,fit
31,South,Cycling,83,12703,689,11k-14k,550-700,7.98,66.4,fit
23,West,Running,96,18496,836,>14k,>700,6.58,76.5,fit
50,West,Walking,70,6291,198,5k-8k,<250,6.47,93.6,unfit
33,South,Sports,91,14717,644,>14k,550-700,7.91,76.2,fit
24,South,Running,109,13432,762,11k-14k,>700,7.64,57.6,fit
21,South,Gym,90,11744,481,11k-14k,400-550,7.25,77.2,moderately_fit
29,South,Running,105,17270,905,>14k,>700,6.86,63.8,fit
36,South,Cycling,82,13359,491,11k-14k,400-550,6.81,79.0,moderately_fit
35,North,Gym,88,5219,229,5k-8k,<250,7.37,66.0,unfit
28,West,Walking,81,1176,100,<5k,<250,7.14,76.2,unfit
30,South,Walking,64,8470,300,8k-11k,250-400,4.7,72.8,moderately_fit
27,East,Cycling,93,11286,475,11k-14k,400-550,7.03,55.9,moderately_fit
56,South,Walking,72,6534,278,5k-8k,250-400,7.82,75.6,unfit
52,East,Gym,75,7962,425,5k-8k,400-550,9.19,79.6,moderately_fit
37,North,Gym,45,7885,286,5k-8k,250-400,7.86,85.5,moderately_fit
20,South,Gym,110,11298,512,11k-14k,400-550,7.58,60.8,moderately_fit
19,South,Gym,86,10780,404,8k-11k,400-550,8.16,71.1,moderately_fit
25,South,Walking,64,7417,355,5k-8k,250-400,6.85,72.7,moderately_fit
24,West,Gym,72,9672,447,8k-11k,400-550,5.84,56.3,moderately_fit
52,North,Running,112,13450,781,11k-14k,>700,6.98,102.6,fit
25,South,Running,95,12517,691,11k-14k,550-700,5.88,61.2,fit
53,North,Cycling,85,6420,214,5k-8k,<250,8.09,73.1,unfit
24,West,Gym,76,6782,354,5k-8k,250-400,5.0,77.2,moderately_fit
51,North,Cycling,86,8088,527,8k-11k,400-550,7.53,82.1,moderately_fit
28,East,Sports,91,15844,816,>14k,>700,7.64,91.2,fit
24,North,Walking,64,7945,268,5k-8k,250-400,6.47,65.5,moderately_fit
55,South,Sports,97,8095,495,8k-11k,400-550,4.46,85.2,moderately_fit
29,West,Gym,83,9772,424,8k-11k,400-550,5.59,68.3,moderately_fit
27,North,Running,112,10967,684,8k-11k,550-700,7.43,77.9,moderately_fit
27,East,Gym,86,8935,369,8k-11k,250-400,7.8,74.7,moderately_fit
28,North,Running,104,12768,439,11k-14k,400-550,7.3,56.5,moderately_fit
63,South,Gym,50,3691,184,<5k,<250,8.35,73.7,unfit
30,South,Gym,67,11933,454,11k-14k,400-550,7.55,64.1,moderately_fit
32,South,Cycling,86,9938,475,8k-11k,400-550,7.21,76.6,moderately_fit
27,South,Running,102,13984,792,11k-14k,>700,7.25,71.9,fit
29,East,Running,102,15990,962,>14k,>700,6.61,80.6,fit
25,North,Sports,109,13272,760,11k-14k,>700,9.62,86.4,fit
49,South,Sports,88,10506,547,8k-11k,400-550,8.02,64.9,moderately_fit
61,North,Sports,103,8678,397,8k-11k,250-400,7.61,69.0,moderately_fit
25,East,Cycling,91,13260,692,11k-14k,550-700,7.09,67.5,fit
27,East,Gym,73,9381,446,8k-11k,400-550,7.2,79.9,moderately_fit
25,North,Gym,79,9893,494,8k-11k,400-550,5.08,56.4,moderately_fit
33,North,Gym,83,11782,475,11k-14k,400-550,7.05,91.7,moderately_fit
30,North,Sports,100,14883,884,>14k,>700,7.16,82.4,fit
44,West,Gym,95,8938,357,8k-11k,250-400,4.31,75.9,moderately_fit
31,East,Gym,80,9394,364,8k-11k,250-400,8.33,85.3,moderately_fit
48,South,Gym,92,9639,463,8k-11k,400-550,7.29,74.0,moderately_fit
45,South,Gym,76,7570,313,5k-8k,250-400,7.18,58.8,moderately_fit
29,North,Gym,85,8644,412,8k-11k,400-550,6.31,84.6,moderately_fit
32,South,Cycling,90,10723,483,8k-11k,400-550,8.62,81.4,moderately_fit
42,East,Walking,67,4683,172,<5k,<250,6.89,80.5,unfit
42,South,Running,92,19687,890,>14k,>700,6.23,79.8,fit
18,West,Cycling,91,11000,555,8k-11k,550-700,5.84,63.6,moderately_fit
24,South,Cycling,84,12689,537,11k-14k,400-550,6.16,54.0,moderately_fit
28,North,Gym,61,9291,460,8k-11k,400-550,6.54,48.4,moderately_fit
59,South,Sports,81,11166,521,11k-14k,400-550,6.6,58.6,moderately_fit
51,South,Cycling,85,8399,381,8k-11k,250-400,6.62,76.3,moderately_fit
60,West,Walking,61,6193,163,5k-8k,<250,6.91,64.2,unfit
28,South,Cycling,86,9074,475,8k-11k,400-550,6.66,56.2,moderately_fit
35,South,Cycling,87,13675,561,11k-14k,550-700,8.44,61.9,moderately_fit
45,East,Running,103,14284,772,>14k,>700,9.26,75.8,fit
21,South,Walking,71,5007,170,5k-8k,<250,5.35,79.9,unfit
23,South,Running,91,14542,742,>14k,>700,8.61,94.2,fit
25,West,Cycling,88,7963,461,5k-8k,400-550,6.27,90.1,moderately_fit
33,North,Gym,75,7001,311,5k-8k,250-400,7.94,69.5,moderately_fit
63,North,Running,113,13262,694,11k-14k,550-700,7.73,67.0,fit
47,West,Gym,65,1851,100,<5k,<250,8.18,82.9,unfit
24,North,Running,115,17535,886,>14k,>700,6.16,69.4,fit
28,North,Gym,90,10280,360,8k-11k,250-400,7.7,71.4,moderately_fit
23,South,Gym,83,9466,515,8k-11k,400-550,5.94,68.1,moderately_fit
23,North,Cycling,77,13794,560,11k-14k,550-700,6.91,64.9,moderately_fit
56,West,Cycling,95,15717,689,>14k,550-700,6.37,84.9,fit
45,South,Gym,89,4876,256,<5k,250-400,5.88,84.8,unfit
35,South,Running,94,18380,1071,>14k,>700,7.39,72.4,fit
60,North,Running,99,13699,689,11k-14k,550-700,8.09,82.0,fit
22,North,Cycling,100,9918,432,8k-11k,400-550,7.32,63.4,moderately_fit
29,South,Running,111,15474,893,>14k,>700,7.32,69.3,fit
67,South,Gym,82,3953,178,<5k,<250,6.77,74.4,unfit
33,East,Sports,96,10468,594,8k-11k,550-700,8.14,77.6,moderately_fit
52,North,Cycling,86,4017,202,<5k,<250,6.4,75.7,unfit
57,East,Walking,85,3222,114,<5k,<250,7.39,80.5,unfit
23,North,Running,94,15645,680,>14k,550-700,7.28,64.1,fit
27,South,Running,107,15510,776,>14k,>700,10.5,92.3,fit
32,South,Cycling,70,12027,551,11k-14k,550-700,7.32,70.4,moderately_fit
27,North,Walking,77,8792,286,8k-11k,250-400,6.39,56.7,moderately_fit
52,South,Gym,78,8029,337,8k-11k,250-400,5.17,87.6,moderately_fit
38,North,Gym,90,10362,488,8k-11k,400-550,8.28,59.1,moderately_fit
22,South,Gym,74,12416,527,11k-14k,400-550,6.07,62.5,moderately_fit
67,East,Walking,62,5879,215,5k-8k,<250,6.51,80.8,unfit
31,North,Cycling,100,9874,553,8k-11k,550-700,6.9,67.1,moderately_fit
30,West,Gym,78,8836,418,8k-11k,400-550,7.57,69.7,moderately_fit
27,South,Running,97,11591,690,11k-14k,550-700,7.02,68.1,moderately_fit
58,West,Gym,79,9461,430,8k-11k,400-550,5.76,74.6,moderately_fit
25,North,Running,104,9483,435,8k-11k,400-550,6.33,53.2,moderately_fit
34,West,Running,99,12921,676,11k-14k,550-700,6.2,80.7,fit
54,North,Walking,76,7218,261,5k-8k,250-400,6.69,79.4,moderately_fit
29,South,Gym,68,6716,258,5k-8k,250-400,8.29,73.8,unfit
33,West,Cycling,95,7305,301,5k-8k,250-400,6.89,70.9,moderately_fit
26,North,Running,105,7361,371,5k-8k,250-400,7.9,65.9,moderately_fit
28,North,Cycling,87,10489,532,8k-11k,400-550,8.1,76.0,moderately_fit
40,East,Running,100,9369,424,8k-11k,400-550,7.61,86.3,moderately_fit
27,South,Walking,70,9273,363,8k-11k,250-400,5.66,77.9,moderately_fit
32,South,Cycling,120,7001,376,5k-8k,250-400,8.48,91.4,moderately_fit
49,North,Walking,77,7404,262,5k-8k,250-400,5.7,72.4,moderately_fit
38,East,Sports,87,8011,296,8k-11k,250-400,7.52,71.5,moderately_fit
52,North,Walking,68,3160,101,<5k,<250,6.5,89.0,unfit
27,West,Running,112,10489,480,8k-11k,400-550,7.78,63.8,moderately_fit
57,East,Walking,130,8070,281,8k-11k,250-400,6.88,81.1,moderately_fit
59,East,Cycling,101,5712,289,5k-8k,250-400,8.01,86.6,unfit
35,North,Sports,83,14381,606,>14k,550-700,7.29,86.8,fit
21,West,Gym,96,10306,503,8k-11k,400-550,7.59,62.3,moderately_fit
49,South,Gym,90,6637,301,5k-8k,250-400,7.91,76.3,unfit
65,West,Walking,69,3388,107,<5k,<250,4.96,79.4,unfit
21,North,Cycling,85,16521,991,>14k,>700,8.52,51.4,fit
55,East,Walking,72,4849,157,<5k,<250,6.31,69.7,unfit
51,South,Gym,75,6339,279,5k-8k,250-400,7.33,81.2,unfit
27,North,Walking,82,10422,359,8k-11k,250-400,6.65,86.0,moderately_fit
34,South,Cycling,85,14791,873,>14k,>700,6.8,74.0,fit
21,North,Running,102,14280,863,>14k,>700,7.18,61.5,fit
59,South,Cycling,78,11680,557,11k-14k,550-700,7.33,71.3,moderately_fit
70,South,Cycling,83,6308,319,5k-8k,250-400,6.99,64.4,unfit
37,South,Walking,68,11480,410,11k-14k,400-550,7.6,87.0,moderately_fit
32,South,Running,84,9666,562,8k-11k,550-700,8.2,84.2,moderately_fit
36,South,Cycling,91,8274,488,8k-11k,400-550,6.69,60.4,moderately_fit
24,North,Running,116,18338,1005,>14k,>700,9.3,86.3,fit
28,East,Gym,74,8610,412,8k-11k,400-550,5.5,80.0,moderately_fit
28,West,Cycling,86,14630,624,>14k,550-700,6.13,72.0,fit
51,North,Sports,88,8974,378,8k-11k,250-400,7.13,64.9,moderately_fit
70,North,Sports,97,10141,567,8k-11k,550-700,7.5,75.5,moderately_fit
23,South,Cycling,80,9867,399,8k-11k,250-400,6.46,74.6,moderately_fit
28,East,Running,87,13772,724,11k-14k,>700,6.95,63.2,fit
18,East,Gym,88,6798,315,5k-8k,250-400,5.96,62.6,unfit
35,South,Walking,79,6997,254,5k-8k,250-400,6.21,61.8,unfit
28,North,Running,111,11366,495,11k-14k,400-550,5.76,70.6,moderately_fit
36,East,Gym,87,13981,494,11k-14k,400-550,6.64,64.8,moderately_fit
27,South,Gym,85,8598,287,8k-11k,250-400,6.59,71.0,moderately_fit
27,North,Cycling,84,8285,376,8k-11k,250-400,6.07,77.6,moderately_fit
63,North,Sports,105,10829,578,8k-11k,550-700,8.69,83.3,moderately_fit
24,South,Sports,103,9460,496,8k-11k,400-550,7.8,86.7,moderately_fit
43,South,Gym,74,10525,433,8k-11k,400-550,8.23,79.0,moderately_fit
67,East,Sports,92,7358,433,5k-8k,400-550,7.26,78.2,moderately_fit
44,West,Gym,80,8172,315,8k-11k,250-400,7.48,90.7,moderately_fit
60,North,Gym,92,6725,296,5k-8k,250-400,6.86,79.4,unfit
22,West,Running,91,13838,731,11k-14k,>700,7.14,67.7,fit
22,East,Running,90,14786,772,>14k,>700,8.05,66.5,fit
31,South,Sports,98,10215,643,8k-11k,550-700,6.43,87.9,moderately_fit
55,West,Walking,79,3842,133,<5k,<250,6.36,74.7,unfit
60,East,Gym,66,7297,394,5k-8k,250-400,8.8,77.4,moderately_fit
52,North,Walking,74,5391,177,5k-8k,<250,6.43,82.7,unfit
20,West,Cycling,95,8642,475,8k-11k,400-550,7.39,65.9,moderately_fit
24,East,Running,79,16242,798,>14k,>700,8.3,71.5,fit
26,East,Cycling,80,11319,568,11k-14k,550-700,8.36,66.1,moderately_fit
31,West,Cycling,109,8243,368,8k-11k,250-400,8.2,72.5,moderately_fit
26,South,Running,112,13486,793,11k-14k,>700,6.21,71.9,fit
59,East,Gym,130,6905,285,5k-8k,250-400,6.53,75.4,unfit
65,East,Walking,74,3431,147,<5k,<250,8.23,88.4,unfit
34,South,Cycling,75,18626,833,>14k,>700,7.0,81.7,fit
35,North,Sports,90,11507,749,11k-14k,>700,7.74,93.2,moderately_fit
62,East,Cycling,80,7930,366,5k-8k,250-400,8.01,61.5,moderately_fit
37,North,Gym,82,14825,582,>14k,550-700,8.64,66.7,moderately_fit
33,East,Walking,79,8113,339,8k-11k,250-400,5.6,74.4,moderately_fit
30,West,Running,105,17426,1029,>14k,>700,7.56,75.3,fit
42,North,Cycling,90,10315,564,8k-11k,550-700,7.16,88.7,moderately_fit
28,North,Gym,94,9493,294,8k-11k,250-400,9.66,54.5,moderately_fit
57,North,Cycling,81,6741,283,5k-8k,250-400,6.62,88.4,unfit
57,South,Sports,98,11292,606,11k-14k,550-700,6.25,71.1,moderately_fit
20,West,Running,99,20346,1298,>14k,>700,9.27,60.0,fit
27,South,Gym,98,13342,518,11k-14k,400-550,9.66,73.9,moderately_fit
24,North,Sports,94,9453,367,8k-11k,250-400,8.39,70.4,moderately_fit
22,South,Running,112,20178,1040,>14k,>700,5.73,97.9,fit
60,East,Gym,73,5131,180,5k-8k,<250,6.02,85.6,unfit
62,South,Walking,79,3772,140,<5k,<250,5.62,86.7,unfit
61,East,Gym,82,4918,228,<5k,<250,9.03,76.0,unfit
59,North,Running,104,9726,622,8k-11k,550-700,7.22,76.3,moderately_fit
30,East,Running,97,8001,435,8k-11k,400-550,7.6,58.8,moderately_fit
43,North,Gym,77,8465,302,8k-11k,250-400,6.68,79.4,moderately_fit
18,North,Cycling,83,11351,557,11k-14k,550-700,5.87,55.8,moderately_fit
60,West,Walking,68,5843,193,5k-8k,<250,5.77,67.6,unfit
49,South,Gym,85,6693,341,5k-8k,250-400,8.96,77.6,unfit
44,North,Cycling,91,5940,304,5k-8k,250-400,7.16,69.6,unfit
28,West,Cycling,85,10548,528,8k-11k,400-550,5.36,64.1,moderately_fit
28,East,Gym,110,12384,531,11k-14k,400-550,7.66,66.7,moderately_fit
20,North,Gym,73,7341,362,5k-8k,250-400,6.92,76.0,moderately_fit
49,South,Cycling,87,7326,371,5k-8k,250-400,7.15,82.6,moderately_fit
21,West,Running,96,16064,853,>14k,>700,7.06,58.8,fit
38,East,Running,98,9285,536,8k-11k,400-550,6.14,79.3,moderately_fit
54,North,Walking,75,6531,230,5k-8k,<250,5.83,85.9,unfit
24,East,Gym,86,10710,442,8k-11k,400-550,9.19,92.2,moderately_fit
36,South,Cycling,92,9152,391,8k-11k,250-400,8.09,78.8,moderately_fit
56,East,Gym,86,5592,205,5k-8k,<250,7.7,56.8,unfit
57,North,Cycling,87,5357,272,5k-8k,250-400,7.01,84.6,unfit
27,East,Running,96,11726,692,11k-14k,550-700,7.4,82.9,moderately_fit
49,North,Cycling,84,10939,500,8k-11k,400-550,8.89,87.5,moderately_fit
58,East,Sports,104,11628,630,11k-14k,550-700,7.32,92.1,moderately_fit
33,West,Gym,93,9159,433,8k-11k,400-550,7.28,86.8,moderately_fit
47,North,Running,107,10256,517,8k-11k,400-550,7.85,76.0,moderately_fit
29,North,Gym,83,9449,413,8k-11k,400-550,5.77,74.1,moderately_fit
21,South,Gym,94,7754,335,5k-8k,250-400,6.87,63.5,moderately_fit
62,East,Walking,87,6011,205,5k-8k,<250,5.27,68.1,unfit
58,North,Walking,130,7360,217,5k-8k,<250,3.73,69.1,moderately_fit
61,East,Sports,91,8109,372,8k-11k,250-400,5.71,87.9,moderately_fit
35,West,Cycling,91,8632,426,8k-11k,400-550,7.16,64.9,moderately_fit
53,East,Cycling,104,7980,455,5k-8k,400-550,8.52,79.3,moderately_fit
28,East,Running,99,17262,810,>14k,>700,7.65,77.3,fit
31,South,Running,98,22073,1126,>14k,>700,7.77,78.8,fit
49,West,Walking,62,7643,287,5k-8k,250-400,7.52,90.5,moderately_fit
53,North,Gym,84,7483,286,5k-8k,250-400,8.86,81.7,moderately_fit
24,North,Running,96,11479,593,11k-14k,550-700,8.05,73.1,moderately_fit
30,South,Walking,75,5288,171,5k-8k,<250,5.76,88.6,unfit
31,East,Cycling,91,12029,515,11k-14k,400-550,7.15,63.9,moderately_fit
48,West,Gym,84,6050,252,5k-8k,250-400,8.41,76.4,unfit
49,North,Running,50,14967,764,>14k,>700,8.01,74.1,fit
24,East,Running,108,12590,702,11k-14k,>700,6.54,75.9,fit
61,East,Sports,93,12830,627,11k-14k,550-700,7.5,83.0,fit
23,South,Gym,67,8643,355,8k-11k,250-400,8.36,57.7,moderately_fit
23,East,Running,93,17900,924,>14k,>700,8.32,56.9,fit
26,North,Running,78,16219,840,>14k,>700,8.03,62.3,fit
60,North,Walking,62,7453,266,5k-8k,250-400,5.47,78.7,moderately_fit
28,West,Running,108,13794,726,11k-14k,>700,6.31,60.0,fit
31,South,Gym,83,7472,353,5k-8k,250-400,7.11,57.0,moderately_fit
32,North,Gym,70,11590,538,11k-14k,400-550,8.87,63.9,moderately_fit
41,East,Gym,77,12949,544,11k-14k,400-550,7.59,70.7,moderately_fit
54,West,Cycling,87,6614,297,5k-8k,250-400,7.22,69.0,unfit
19,East,Gym,76,11122,512,11k-14k,400-550,6.36,75.3,moderately_fit
50,North,Gym,78,9046,364,8k-11k,250-400,7.79,81.9,moderately_fit
46,South,Gym,94,8547,243,8k-11k,<250,8.18,91.0,moderately_fit
51,East,Walking,76,9102,368,8k-11k,250-400,6.16,81.0,moderately_fit
18,North,Gym,78,8061,446,8k-11k,400-550,6.78,61.0,moderately_fit
39,North,Running,94,16195,822,>14k,>700,6.79,76.8,fit
27,South,Gym,94,8706,359,8k-11k,250-400,5.9,71.8,moderately_fit
62,South,Walking,85,1000,100,<5k,<250,4.9,86.8,unfit
26,North,Cycling,86,7716,342,5k-8k,250-400,7.97,77.3,moderately_fit
27,North,Running,110,14207,905,>14k,>700,5.99,75.5,fit
64,North,Walking,78,7986,275,5k-8k,250-400,7.41,92.1,moderately_fit
27,North,Running,101,17343,942,>14k,>700,5.04,86.1,fit
67,North,Walking,77,5597,220,5k-8k,<250,7.17,72.0,unfit
29,South,Running,96,10464,617,8k-11k,550-700,6.88,61.3,moderately_fit
24,South,Gym,86,6581,240,5k-8k,<250,7.33,56.7,unfit
24,South,Gym,78,10651,472,8k-11k,400-550,6.74,77.2,moderately_fit
24,South,Gym,84,9494,363,8k-11k,250-400,6.55,60.7,moderately_fit
32,North,Gym,76,11494,488,11k-14k,400-550,5.88,68.4,moderately_fit
57,South,Cycling,83,8049,298,8k-11k,250-400,7.16,84.8,moderately_fit
24,North,Gym,78,7670,273,5k-8k,250-400,8.53,84.6,moderately_fit
48,North,Gym,120,7304,316,5k-8k,250-400,7.73,71.8,moderately_fit
29,North,Running,105,13860,754,11k-14k,>700,6.12,89.3,fit
62,West,Gym,75,1984,100,<5k,<250,6.69,76.3,unfit
66,North,Walking,84,6385,218,5k-8k,<250,6.1,96.6,unfit
31,West,Gym,80,9490,378,8k-11k,250-400,7.53,61.9,moderately_fit
33,South,Gym,74,11367,669,11k-14k,550-700,5.46,73.9,moderately_fit
60,South,Walking,50,7320,219,5k-8k,<250,7.54,75.5,moderately_fit
57,East,Walking,64,8086,263,8k-11k,250-400,9.27,85.9,moderately_fit
50,North,Walking,59,9654,337,8k-11k,250-400,6.66,71.7,moderately_fit
53,North,Running,45,11918,541,11k-14k,400-550,7.07,84.3,moderately_fit
55,West,Sports,90,4276,217,<5k,<250,8.26,83.0,unfit
63,South,Gym,87,9153,390,8k-11k,250-400,5.93,94.9,moderately_fit
24,North,Gym,76,12597,643,11k-14k,550-700,8.23,59.0,fit
28,North,Running,104,13317,660,11k-14k,550-700,6.37,77.4,fit
53,West,Gym,76,2625,115,<5k,<250,9.7,93.4,unfit
35,West,Cycling,77,13239,565,11k-14k,550-700,5.3,80.5,moderately_fit
25,South,Running,108,14241,719,>14k,>700,6.61,84.6,fit
45,North,Cycling,89,6503,276,5k-8k,250-400,7.61,64.8,unfit
21,East,Gym,63,9131,409,8k-11k,400-550,7.72,55.9,moderately_fit
42,North,Running,103,12585,528,11k-14k,400-550,6.81,82.3,moderately_fit
27,South,Gym,72,8730,352,8k-11k,250-400,8.26,79.5,moderately_fit
36,East,Walking,61,6028,200,5k-8k,<250,5.44,61.5,unfit
30,South,Gym,90,11579,576,11k-14k,550-700,5.9,70.2,moderately_fit
37,South,Running,95,17153,898,>14k,>700,5.99,70.6,fit
63,West,Gym,82,11829,524,11k-14k,400-550,7.21,79.1,moderately_fit
65,East,Sports,94,6417,311,5k-8k,250-400,7.06,76.7,unfit
24,South,Gym,90,12851,458,11k-14k,400-550,5.79,71.8,moderately_fit
26,North,Gym,71,9943,439,8k-11k,400-550,7.17,86.5,moderately_fit
33,North,Sports,94,12639,514,11k-14k,400-550,6.04,81.0,moderately_fit
19,North,Sports,91,15949,1043,>14k,>700,7.48,65.1,fit
44,South,Running,105,12250,603,11k-14k,550-700,8.23,94.8,fit
32,South,Gym,83,8610,432,8k-11k,400-550,5.92,71.2,moderately_fit
31,North,Running,99,11619,645,11k-14k,550-700,6.9,73.6,moderately_fit
52,North,Walking,50,3853,155,<5k,<250,8.03,76.9,unfit
24,North,Cycling,85,9938,404,8k-11k,400-550,6.73,68.7,moderately_fit
40,South,Cycling,103,10667,575,8k-11k,550-700,6.66,73.4,moderately_fit
34,South,Gym,72,8807,416,8k-11k,400-550,9.34,56.1,moderately_fit
29,South,Cycling,88,10168,518,8k-11k,400-550,8.24,67.0,moderately_fit
44,East,Cycling,95,9045,345,8k-11k,250-400,6.8,99.5,moderately_fit
21,East,Sports,71,15368,840,>14k,>700,7.83,73.7,fit
60,South,Sports,120,9799,334,8k-11k,250-400,4.8,76.9,moderately_fit
26,North,Walking,77,5586,226,5k-8k,<250,5.82,81.7,unfit
35,South,Gym,85,9011,433,8k-11k,400-550,6.69,68.9,moderately_fit
30,South,Running,95,15648,779,>14k,>700,6.78,79.0,fit
26,North,Sports,95,14697,703,>14k,>700,6.42,86.3,fit
29,West,Sports,87,13457,606,11k-14k,550-700,7.77,74.7,fit
23,South,Running,99,17045,839,>14k,>700,6.99,53.9,fit
58,South,Walking,71,6878,182,5k-8k,<250,6.35,73.6,unfit
26,South,Gym,69,4449,201,<5k,<250,6.62,76.8,unfit
57,North,Cycling,91,8479,394,8k-11k,250-400,6.71,83.1,moderately_fit
52,North,Gym,86,7507,365,5k-8k,250-400,7.63,84.2,moderately_fit
51,South,Gym,71,12898,615,11k-14k,550-700,7.66,61.2,fit
57,North,Gym,88,9298,463,8k-11k,400-550,7.76,82.0,moderately_fit
51,North,Cycling,90,8632,439,8k-11k,400-550,7.2,73.9,moderately_fit
31,West,Sports,102,9941,558,8k-11k,550-700,7.2,70.7,moderately_fit
46,South,Gym,87,7273,218,5k-8k,<250,6.67,68.8,moderately_fit
23,North,Gym,99,7645,281,5k-8k,250-400,7.84,80.2,moderately_fit
22,North,Running,130,21139,1223,>14k,>700,6.51,74.6,fit
28,South,Sports,74,12095,579,11k-14k,550-700,7.31,78.4,moderately_fit
61,North,Walking,85,7356,300,5k-8k,250-400,6.41,88.8,moderately_fit
24,North,Gym,86,10888,640,8k-11k,550-700,5.97,62.7,moderately_fit
28,South,Gym,76,10976,456,8k-11k,400-550,6.73,81.6,moderately_fit
58,North,Walking,90,4105,133,<5k,<250,6.22,87.9,unfit
39,South,Gym,81,11943,543,11k-14k,400-550,7.95,71.9,moderately_fit
27,South,Running,89,13835,633,11k-14k,550-700,7.56,81.8,fit
51,North,Walking,59,9240,317,8k-11k,250-400,7.23,75.3,moderately_fit
29,North,Running,104,15177,650,>14k,550-700,5.76,55.5,fit
38,South,Walking,78,10441,429,8k-11k,400-550,5.59,77.5,moderately_fit
34,South,Gym,81,10434,453,8k-11k,400-550,8.22,64.4,moderately_fit
31,North,Running,100,13143,697,11k-14k,550-700,6.45,72.3,fit
26,North,Running,109,18416,845,>14k,>700,7.45,86.4,fit
51,West,Walking,75,6516,238,5k-8k,<250,5.89,75.5,unfit
40,North,Cycling,74,11585,455,11k-14k,400-550,7.99,89.5,moderately_fit
25,West,Gym,85,9756,447,8k-11k,400-550,6.66,66.9,moderately_fit
59,North,Walking,63,4731,175,<5k,<250,6.37,82.9,unfit
32,North,Running,112,13121,675,11k-14k,550-700,6.5,75.9,fit
33,South,Sports,89,13479,774,11k-14k,>700,6.78,71.5,fit
22,North,Running,114,17516,764,>14k,>700,8.15,69.2,fit
21,North,Gym,72,4750,188,<5k,<250,6.94,60.5,unfit
33,North,Running,97,14460,727,>14k,>700,6.24,78.3,fit
24,West,Gym,78,9405,494,8k-11k,400-550,7.74,81.9,moderately_fit
22,South,Cycling,75,8254,311,8k-11k,250-400,6.45,47.3,moderately_fit
65,South,Walking,87,7208,301,5k-8k,250-400,6.74,88.0,moderately_fit
29,East,Cycling,75,15636,655,>14k,550-700,6.86,61.3,fit
42,East,Gym,76,12104,612,11k-14k,550-700,8.09,85.0,fit
20,East,Sports,87,6993,316,5k-8k,250-400,8.65,60.3,unfit
24,North,Gym,81,10411,493,8k-11k,400-550,7.07,73.0,moderately_fit
26,North,Cycling,91,9735,467,8k-11k,400-550,4.35,53.8,moderately_fit
29,North,Gym,87,8146,318,8k-11k,250-400,6.72,64.8,moderately_fit
35,North,Gym,92,8236,299,8k-11k,250-400,6.51,85.6,moderately_fit
29,North,Gym,96,3710,127,<5k,<250,6.88,78.1,unfit
31,North,Sports,97,6727,425,5k-8k,400-550,8.04,77.9,moderately_fit
18,West,Gym,73,10212,510,8k-11k,400-550,6.46,69.7,moderately_fit
49,West,Gym,74,8552,369,8k-11k,250-400,6.88,78.0,moderately_fit
32,North,Gym,90,8578,374,8k-11k,250-400,7.32,87.8,moderately_fit
25,North,Sports,97,9271,435,8k-11k,400-550,7.68,70.1,moderately_fit
34,North,Gym,72,7923,434,5k-8k,400-550,7.34,73.4,moderately_fit
56,North,Walking,74,8864,297,8k-11k,250-400,5.66,88.7,moderately_fit
54,North,Sports,87,8973,451,8k-11k,400-550,8.24,76.8,moderately_fit
28,West,Sports,85,10876,616,8k-11k,550-700,7.41,68.0,moderately_fit
55,North,Walking,78,8500,253,8k-11k,250-400,4.64,74.8,moderately_fit
27,North,Cycling,76,10740,385,8k-11k,250-400,6.14,70.0,moderately_fit
63,North,Walking,73,6960,196,5k-8k,<250,6.36,68.1,unfit
31,West,Walking,87,8228,304,8k-11k,250-400,6.88,56.4,moderately_fit
